Credibility Code,Sample Size,Precision,Abundance,Significance, AOU,Region,Species Name,Region Name,Model, N Routes, Trend, 2.5%CI, 97.5%CI,Relative Abundance
 Y, Y, Y, Y,2,4790,SUR,Florida Scrub-Jay                       ,                                        , Dh,8,-4.672,-8.414,-1.352,0.421
 Y, Y, Y, Y,2,4790,US1,Florida Scrub-Jay                       ,                                        , Dh,8,-4.672,-8.414,-1.352,0.421
 Y, Y, Y, Y,2,4790,SU1,Florida Scrub-Jay                       ,                                        , Dh,8,-4.672,-8.414,-1.352,0.421
  ,  ,  ,  ,  ,34810,S05,California & Woodhouse's Scrub-Jay      ,                                        , Dh,63,0.497,-0.245,1.22,7.551
 Y,  ,  , Y,  ,34810,S09,California & Woodhouse's Scrub-Jay      ,                                        , Dh,56,-0.982,-2.293,0.286,0.598
  ,  ,  ,  ,  ,34810,S15,California & Woodhouse's Scrub-Jay      ,                                        , Dh,22,-1.223,-3.114,0.387,3.568
  ,  ,  ,  ,  ,34810,S16,California & Woodhouse's Scrub-Jay      ,                                        , Dh,143,-0.407,-1.509,0.757,1.593
 Y, Y, Y, Y,2,34810,S18,California & Woodhouse's Scrub-Jay      ,                                        , Dh,9,-3.793,-7.75,-0.512,0.142
 R, Y, R, Y,  ,34810,S19,California & Woodhouse's Scrub-Jay      ,                                        , Dh,7,1.261,-3.017,7.66,0.226
 Y, Y,  ,  ,2,34810,S20,California & Woodhouse's Scrub-Jay      ,                                        , Dh,13,-5.119,-7.608,-2.81,2.074
  ,  ,  ,  ,2,34810,S32,California & Woodhouse's Scrub-Jay      ,                                        , Dh,95,-1.893,-2.466,-1.311,38.52
 Y, Y,  ,  ,  ,34810,S33,California & Woodhouse's Scrub-Jay      ,                                        , Dh,9,0.083,-2.202,2.325,1.761
  ,  ,  ,  ,  ,34810,S34,California & Woodhouse's Scrub-Jay      ,                                        , Dh,23,-1.597,-3.578,0.272,3.582
 Y,  ,  , Y,2,34810,S35,California & Woodhouse's Scrub-Jay      ,                                        , Dh,15,-3.194,-5.828,-0.728,0.507
  ,  ,  ,  ,  ,34810,ARI,California & Woodhouse's Scrub-Jay      ,                                        , Dh,30,-0.827,-2.67,1.179,1.816
  ,  ,  ,  ,2,34810,CAL,California & Woodhouse's Scrub-Jay      ,                                        , Dh,172,-1.663,-2.178,-1.149,18.552
 Y,  ,  , Y,  ,34810,COL,California & Woodhouse's Scrub-Jay      ,                                        , Dh,56,-0.832,-2.56,1.011,0.646
 Y,  ,  , Y,  ,34810,NEV,California & Woodhouse's Scrub-Jay      ,                                        , Dh,17,-0.829,-3.433,1.406,0.369
  ,  ,  ,  ,2,34810,NM ,California & Woodhouse's Scrub-Jay      ,                                        , Dh,47,-1.623,-3.118,-0.162,2.11
  ,  ,  ,  ,  ,34810,ORE,California & Woodhouse's Scrub-Jay      ,                                        , Dh,34,0.266,-0.7,1.27,3.741
 Y,  ,  , Y,2,34810,TEX,California & Woodhouse's Scrub-Jay      ,                                        , Dh,27,-3.07,-5.023,-0.989,0.798
 Y,  ,  , Y,  ,34810,UT ,California & Woodhouse's Scrub-Jay      ,                                        , Dh,63,0.216,-1.508,1.908,0.859
 Y, Y,  ,  ,1,34810,WAS,California & Woodhouse's Scrub-Jay      ,                                        , Dh,9,5.899,3.124,9.058,1.046
  ,  ,  ,  ,2,34810,US ,California & Woodhouse's Scrub-Jay      ,                                        , Dh,455,-1.411,-1.828,-0.994,4.744
  ,  ,  ,  ,2,34810,SUR,California & Woodhouse's Scrub-Jay      ,                                        , Dh,455,-1.411,-1.828,-0.994,4.744
  ,  ,  ,  ,2,34810,US1,California & Woodhouse's Scrub-Jay      ,                                        , Dh,455,-1.411,-1.828,-0.994,4.744
  ,  ,  ,  ,2,34810,SU1,California & Woodhouse's Scrub-Jay      ,                                        , Dh,455,-1.411,-1.828,-0.994,4.744
 Y, Y,  ,  ,  ,4820,S34,Mexican Jay                             ,                                        , Dh,11,0,-0.734,0.407,13.967
 Y, Y,  ,  ,  ,4820,ARI,Mexican Jay                             ,                                        , Dh,11,0,-0.734,0.407,13.967
 Y, Y,  ,  ,  ,4820,US ,Mexican Jay                             ,                                        , Dh,11,0,-0.734,0.407,13.967
 Y, Y,  ,  ,  ,4820,SUR,Mexican Jay                             ,                                        , Dh,11,0,-0.734,0.407,13.967
 Y, Y,  ,  ,  ,4820,US1,Mexican Jay                             ,                                        , Dh,11,0,-0.734,0.407,13.967
 Y, Y,  ,  ,  ,4820,SU1,Mexican Jay                             ,                                        , Dh,11,0,-0.734,0.407,13.967
 Y, Y, Y, Y,  ,4910,S05,Clark's Nutcracker                      ,                                        , Sh,6,-0.849,-5.232,2.932,0.139
 Y,  ,  , Y,  ,4910,S09,Clark's Nutcracker                      ,                                        , Sh,79,0.488,-1.647,2.291,0.439
  ,  ,  ,  ,  ,4910,S10,Clark's Nutcracker                      ,                                        , Sh,139,-0.506,-1.982,0.969,1.087
  ,  ,  ,  ,  ,4910,S15,Clark's Nutcracker                      ,                                        , Sh,15,-0.286,-3.142,2.598,1.655
  ,  ,  ,  ,  ,4910,S16,Clark's Nutcracker                      ,                                        , Sh,124,-0.596,-2.171,1.003,1.76
 R,  , R, Y,  ,4910,S17,Clark's Nutcracker                      ,                                        , Sh,15,1.855,-2.849,7.962,0.247
 Y, Y, Y, Y,  ,4910,S32,Clark's Nutcracker                      ,                                        , Sh,5,0.242,-3.582,4.528,0.216
 Y, Y, Y, Y,  ,4910,S34,Clark's Nutcracker                      ,                                        , Sh,6,-2.73,-8.402,1.479,0.428
 Y, Y, Y,  ,  ,4910,ALB,Clark's Nutcracker                      ,                                        , Sh,12,-0.407,-4.595,4.362,1.511
 Y, Y, Y, Y,  ,4910,ARI,Clark's Nutcracker                      ,                                        , Sh,10,-2.6,-7.189,0.934,0.366
 Y,  ,  , Y,  ,4910,BC ,Clark's Nutcracker                      ,                                        , Sh,35,0.52,-2.083,3.102,0.397
 Y,  ,  , Y,  ,4910,CAL,Clark's Nutcracker                      ,                                        , Sh,36,0.667,-1.541,2.826,0.678
  ,  ,  ,  ,  ,4910,COL,Clark's Nutcracker                      ,                                        , Sh,66,-0.246,-2.465,2.024,2.971
 Y,  , Y, Y,  ,4910,IDA,Clark's Nutcracker                      ,                                        , Sh,23,-0.842,-4.718,3.208,0.711
 Y,  ,  , Y,  ,4910,MON,Clark's Nutcracker                      ,                                        , Sh,39,0.006,-2.728,2.986,0.82
 R, Y, R, R,  ,4910,NEV,Clark's Nutcracker                      ,                                        , Sh,6,0.534,-5.027,6.528,0.058
 R,  , R,  ,  ,4910,NM ,Clark's Nutcracker                      ,                                        , Sh,14,-1.644,-6.865,3.569,1.033
 Y,  ,  , Y,  ,4910,ORE,Clark's Nutcracker                      ,                                        , Sh,40,0.246,-2.377,2.959,0.846
 R, Y, R, Y,  ,4910,SD ,Clark's Nutcracker                      ,                                        , Sh,5,0.972,-6.34,11.987,0.227
  ,  ,  ,  ,  ,4910,UT ,Clark's Nutcracker                      ,                                        , Sh,36,-1.049,-3.878,1.471,1.109
 Y,  , Y, Y,  ,4910,WAS,Clark's Nutcracker                      ,                                        , Sh,23,-1.484,-4.269,1.8,0.365
  ,  ,  ,  ,  ,4910,WYO,Clark's Nutcracker                      ,                                        , Sh,44,-0.949,-3.193,1.334,1.744
 Y,  ,  , Y,  ,4910,CAN,Clark's Nutcracker                      ,                                        , Sh,47,0.287,-1.965,2.618,0.532
 Y,  ,  , Y,  ,4910,US ,Clark's Nutcracker                      ,                                        , Sh,342,-0.451,-1.483,0.529,0.93
 Y,  ,  , Y,  ,4910,SUR,Clark's Nutcracker                      ,                                        , Sh,389,-0.362,-1.332,0.552,0.866
 Y,  ,  , Y,  ,4910,CA1,Clark's Nutcracker                      ,                                        , Sh,47,0.287,-1.965,2.618,0.532
 Y,  ,  , Y,  ,4910,US1,Clark's Nutcracker                      ,                                        , Sh,342,-0.451,-1.483,0.529,0.93
 Y,  ,  , Y,  ,4910,SU1,Clark's Nutcracker                      ,                                        , Sh,389,-0.362,-1.332,0.552,0.866
 Y, Y, Y,  ,  ,4750,S02,Black-billed Magpie                     ,                                        , Dh,6,-0.174,-3.191,2.825,4.734
 Y,  ,  , Y,  ,4750,S04,Black-billed Magpie                     ,                                        , Dh,33,0.109,-1.373,1.68,0.7
 Y, Y, Y, Y,  ,4750,S05,Black-billed Magpie                     ,                                        , Dh,6,-0.328,-3.463,2.647,0.789
  ,  ,  ,  ,  ,4750,S06,Black-billed Magpie                     ,                                        , Dh,98,-0.839,-1.764,0.185,23.449
  ,  ,  ,  ,  ,4750,S09,Black-billed Magpie                     ,                                        , Dh,187,-0.621,-1.368,0.122,14.116
  ,  ,  ,  ,1,4750,S10,Black-billed Magpie                     ,                                        , Dh,175,1.389,0.683,2.106,6.644
  ,  ,  ,  ,  ,4750,S11,Black-billed Magpie                     ,                                        , Dh,240,-0.274,-0.89,0.367,17.434
 Y,  , Y,  ,  ,4750,S12,Black-billed Magpie                     ,                                        , Dh,25,2.729,-1.496,7.289,1.684
 Y, Y, Y, Y,  ,4750,S15,Black-billed Magpie                     ,                                        , Dh,6,-3.455,-7.538,0.1,0.75
  ,  ,  ,  ,  ,4750,S16,Black-billed Magpie                     ,                                        , Dh,160,-0.615,-1.399,0.152,10.983
  ,  ,  ,  ,1,4750,S17,Black-billed Magpie                     ,                                        , Dh,73,1.995,0.634,3.431,1.34
 Y,  ,  , Y,2,4750,S18,Black-billed Magpie                     ,                                        , Dh,55,-5.438,-7.289,-3.634,0.512
 Y,  , Y, Y,2,4750,S19,Black-billed Magpie                     ,                                        , Dh,36,-13.328,-17.232,-9.716,0.174
  ,  ,  ,  ,  ,4750,AK ,Black-billed Magpie                     ,                                        , Dh,35,-0.269,-1.926,1.441,1.861
  ,  ,  ,  ,2,4750,ALB,Black-billed Magpie                     ,                                        , Dh,154,-1.431,-2.179,-0.657,28.65
  ,  ,  ,  ,  ,4750,BC ,Black-billed Magpie                     ,                                        , Dh,50,-0.191,-2.032,1.546,6.919
  ,  ,  ,  ,2,4750,CAL,Black-billed Magpie                     ,                                        , Dh,21,-1.374,-2.632,-0.201,3.622
  ,  ,  ,  ,  ,4750,COL,Black-billed Magpie                     ,                                        , Dh,129,-0.407,-1.344,0.561,14.36
  ,  ,  ,  ,  ,4750,IDA,Black-billed Magpie                     ,                                        , Dh,43,-0.705,-1.928,0.563,26.202
 Y,  , Y, Y,2,4750,KAN,Black-billed Magpie                     ,                                        , Dh,31,-12.799,-16.86,-8.635,0.249
  ,  ,  ,  ,  ,4750,MAN,Black-billed Magpie                     ,                                        , Dh,63,-0.04,-1.078,1.059,13.297
 Y,  , Y,  ,1,4750,MIN,Black-billed Magpie                     ,                                        , Dh,21,5.978,2.443,10.161,1.61
  ,  ,  ,  ,1,4750,MON,Black-billed Magpie                     ,                                        , Dh,78,1.892,0.874,2.932,8.91
 Y,  ,  , Y,  ,4750,ND ,Black-billed Magpie                     ,                                        , Dh,28,1.272,-0.916,3.722,0.474
 Y,  , Y, Y,2,4750,NEB,Black-billed Magpie                     ,                                        , Dh,21,-6.812,-10.593,-2.619,0.114
  ,  ,  ,  ,  ,4750,NEV,Black-billed Magpie                     ,                                        , Dh,25,-1.204,-3.416,0.871,6.192
  ,  ,  ,  ,  ,4750,NM ,Black-billed Magpie                     ,                                        , Dh,19,0.61,-1.026,2.347,2.065
 R, R, R,  ,1,4750,ONT,Black-billed Magpie                     ,                                        , Dh,4,13.435,8.27,19.587,1.557
  ,  ,  ,  ,1,4750,ORE,Black-billed Magpie                     ,                                        , Dh,58,1.351,0.208,2.572,7.774
  ,  ,  ,  ,  ,4750,SAS,Black-billed Magpie                     ,                                        , Dh,83,0.144,-0.944,1.513,18.213
 Y,  , Y, Y,  ,4750,SD ,Black-billed Magpie                     ,                                        , Dh,15,-3.157,-7.008,0.629,0.216
  ,  ,  ,  ,2,4750,UT ,Black-billed Magpie                     ,                                        , Dh,73,-1.458,-2.799,-0.15,5.599
  ,  ,  ,  ,  ,4750,WAS,Black-billed Magpie                     ,                                        , Dh,46,-0.911,-2.237,0.353,15.101
  ,  ,  ,  ,1,4750,WYO,Black-billed Magpie                     ,                                        , Dh,93,1.151,0.052,2.265,8.179
 Y, Y, Y, Y,  ,4750,YT ,Black-billed Magpie                     ,                                        , Dh,10,2.329,-1.148,6.591,0.314
  ,  ,  ,  ,  ,4750,CAN,Black-billed Magpie                     ,                                        , Dh,364,-0.635,-1.227,0.007,13.661
  ,  ,  ,  ,  ,4750,US ,Black-billed Magpie                     ,                                        , Dh,736,0.094,-0.353,0.538,5.926
  ,  ,  ,  ,  ,4750,SUR,Black-billed Magpie                     ,                                        , Dh,1100,-0.33,-0.729,0.081,8.801
  ,  ,  ,  ,2,4750,CA1,Black-billed Magpie                     ,                                        , Dh,354,-0.652,-1.246,-0.006,16.662
  ,  ,  ,  ,  ,4750,US1,Black-billed Magpie                     ,                                        , Dh,701,0.126,-0.335,0.58,7.62
  ,  ,  ,  ,  ,4750,SU1,Black-billed Magpie                     ,                                        , Dh,1055,-0.342,-0.748,0.079,11.307
  ,  ,  ,  ,2,4760,S32,Yellow-billed Magpie                    ,                                        , Dh,42,-5.007,-6.292,-3.759,12.952
  ,  ,  ,  ,2,4760,CAL,Yellow-billed Magpie                    ,                                        , Dh,42,-5.007,-6.292,-3.759,12.952
  ,  ,  ,  ,2,4760,US ,Yellow-billed Magpie                    ,                                        , Dh,42,-5.007,-6.292,-3.759,12.952
  ,  ,  ,  ,2,4760,SUR,Yellow-billed Magpie                    ,                                        , Dh,42,-5.007,-6.292,-3.759,12.952
  ,  ,  ,  ,2,4760,US1,Yellow-billed Magpie                    ,                                        , Dh,42,-5.007,-6.292,-3.759,12.952
  ,  ,  ,  ,2,4760,SU1,Yellow-billed Magpie                    ,                                        , Dh,42,-5.007,-6.292,-3.759,12.952
  ,  ,  ,  ,2,4880,S05,American Crow                           ,                                        , Dh,93,-1.429,-2.046,-0.837,8.877
  ,  ,  ,  ,  ,4880,S06,American Crow                           ,                                        , Dh,121,0.559,-0.096,1.251,16.759
  ,  ,  ,  ,2,4880,S08,American Crow                           ,                                        , Dh,138,-1.057,-2.176,-0.1,13.964
  ,  ,  ,  ,2,4880,S09,American Crow                           ,                                        , Dh,171,-1.273,-1.87,-0.699,3.741
  ,  ,  ,  ,2,4880,S10,American Crow                           ,                                        , Dh,204,-0.929,-1.621,-0.294,6.42
  ,  ,  ,  ,2,4880,S11,American Crow                           ,                                        , Dh,304,-2.126,-2.53,-1.732,20.24
  ,  ,  ,  ,2,4880,S12,American Crow                           ,                                        , Dh,263,-0.884,-1.215,-0.561,32.693
  ,  ,  ,  ,2,4880,S13,American Crow                           ,                                        , Dh,171,-0.866,-1.161,-0.574,74.871
  ,  ,  ,  ,  ,4880,S14,American Crow                           ,                                        , Dh,274,-0.063,-0.347,0.217,49.752
 Y, Y, Y, Y,  ,4880,S15,American Crow                           ,                                        , Dh,13,-0.398,-3.627,2.595,0.482
  ,  ,  ,  ,1,4880,S16,American Crow                           ,                                        , Dh,140,0.9,0.068,1.762,1.938
  ,  ,  ,  ,  ,4880,S17,American Crow                           ,                                        , Dh,91,-0.056,-1.12,0.958,2.501
 Y,  ,  , Y,2,4880,S18,American Crow                           ,                                        , Dh,84,-5.526,-7.101,-3.883,0.564
  ,  ,  ,  ,2,4880,S19,American Crow                           ,                                        , Dh,113,-3.289,-4.084,-2.519,7.4
 Y, Y,  ,  ,1,4880,S20,American Crow                           ,                                        , Dh,11,2.803,0.307,5.324,1.569
  ,  ,  ,  ,2,4880,S21,American Crow                           ,                                        , Dh,65,-1.619,-2.289,-0.973,44.998
  ,  ,  ,  ,2,4880,S22,American Crow                           ,                                        , Dh,256,-1.092,-1.436,-0.731,23.563
  ,  ,  ,  ,2,4880,S23,American Crow                           ,                                        , Dh,140,-1.298,-1.666,-0.945,54.412
  ,  ,  ,  ,2,4880,S24,American Crow                           ,                                        , Dh,143,-0.569,-0.877,-0.267,56.108
  ,  ,  ,  ,2,4880,S25,American Crow                           ,                                        , Dh,89,-1.865,-2.341,-1.391,82.515
  ,  ,  ,  ,  ,4880,S26,American Crow                           ,                                        , Dh,53,0.687,-0.127,1.513,22.114
  ,  ,  ,  ,2,4880,S27,American Crow                           ,                                        , Dh,279,-0.803,-1.082,-0.521,46.271
  ,  ,  ,  ,2,4880,S28,American Crow                           ,                                        , Dh,304,-0.553,-0.788,-0.328,58.883
  ,  ,  ,  ,2,4880,S29,American Crow                           ,                                        , Dh,148,-1.216,-1.559,-0.881,72.942
  ,  ,  ,  ,2,4880,S30,American Crow                           ,                                        , Dh,128,-1.772,-2.206,-1.351,43.713
  ,  ,  ,  ,1,4880,S31,American Crow                           ,                                        , Dh,48,1.005,0.254,1.786,13.258
  ,  ,  ,  ,2,4880,S32,American Crow                           ,                                        , Dh,88,-1.979,-2.798,-1.2,17.883
 R, R, Y, R,  ,4880,S33,American Crow                           ,                                        , Dh,3,0.228,-2.562,3.866,0.053
 Y, Y, Y,  ,  ,4880,S34,American Crow                           ,                                        , Dh,9,-0.755,-4.248,2.881,2.357
 R, Y, Y, R,  ,4880,S35,American Crow                           ,                                        , Dh,6,1.221,-3.549,5.28,0.097
 R, R, Y, R,  ,4880,S36,American Crow                           ,                                        , Dh,2,-0.631,-6.212,2.894,0.017
  ,  ,  ,  ,  ,4880,S37,American Crow                           ,                                        , Dh,27,0.121,-1.134,1.469,4.648
  ,  ,  ,  ,2,4880,ALA,American Crow                           ,                                        , Dh,98,-0.579,-0.995,-0.177,49.532
  ,  ,  ,  ,  ,4880,ALB,American Crow                           ,                                        , Dh,166,-0.549,-1.144,0.082,25.764
 Y, Y, Y,  ,  ,4880,ARI,American Crow                           ,                                        , Dh,12,-0.161,-3.108,3.171,1.348
  ,  ,  ,  ,2,4880,ARK,American Crow                           ,                                        , Dh,52,-1.228,-1.802,-0.666,57.228
  ,  ,  ,  ,  ,4880,BC ,American Crow                           ,                                        , Dh,95,-0.405,-1.222,0.534,10.325
  ,  ,  ,  ,2,4880,CAL,American Crow                           ,                                        , Dh,136,-1.95,-2.726,-1.216,7.681
  ,  ,  ,  ,1,4880,COL,American Crow                           ,                                        , Dh,126,1.408,0.415,2.421,2.799
  ,  ,  ,  ,2,4880,CON,American Crow                           ,                                        , Dh,17,-2.064,-3.271,-0.906,58.155
  ,  ,  ,  ,  ,4880,DEL,American Crow                           ,                                        , Dh,14,-0.688,-1.86,0.235,39.168
  ,  ,  ,  ,  ,4880,FLA,American Crow                           ,                                        , Dh,84,-0.031,-0.581,0.544,18.623
  ,  ,  ,  ,2,4880,GA ,American Crow                           ,                                        , Dh,101,-0.954,-1.396,-0.517,56.099
  ,  ,  ,  ,2,4880,IA ,American Crow                           ,                                        , Dh,37,-1.772,-2.724,-0.813,16.763
  ,  ,  ,  ,  ,4880,IDA,American Crow                           ,                                        , Dh,42,-0.709,-1.689,0.272,4.034
  ,  ,  ,  ,2,4880,ILL,American Crow                           ,                                        , Dh,104,-1.937,-2.464,-1.398,22.742
  ,  ,  ,  ,2,4880,IND,American Crow                           ,                                        , Dh,63,-1.63,-2.202,-1.071,32.342
  ,  ,  ,  ,2,4880,KAN,American Crow                           ,                                        , Dh,60,-1.332,-2.032,-0.647,17.072
  ,  ,  ,  ,2,4880,KY ,American Crow                           ,                                        , Dh,47,-0.86,-1.391,-0.34,51.646
  ,  ,  ,  ,2,4880,LA ,American Crow                           ,                                        , Dh,74,-1.009,-1.658,-0.381,53.655
  ,  ,  ,  ,  ,4880,MAN,American Crow                           ,                                        , Dh,80,0.308,-0.314,0.974,18.64
  ,  ,  ,  ,2,4880,MAS,American Crow                           ,                                        , Dh,28,-2.847,-3.697,-1.986,37.769
  ,  ,  ,  ,2,4880,MD ,American Crow                           ,                                        , Dh,67,-1.389,-1.854,-0.909,57.339
  ,  ,  ,  ,  ,4880,ME ,American Crow                           ,                                        , Dh,65,0.372,-0.251,0.976,33.565
  ,  ,  ,  ,2,4880,MIC,American Crow                           ,                                        , Dh,83,-1.034,-1.579,-0.511,41.827
  ,  ,  ,  ,2,4880,MIN,American Crow                           ,                                        , Dh,84,-1.05,-1.559,-0.562,36.393
  ,  ,  ,  ,2,4880,MIS,American Crow                           ,                                        , Dh,44,-1.569,-2.348,-0.807,45.321
  ,  ,  ,  ,  ,4880,MO ,American Crow                           ,                                        , Dh,85,-0.169,-0.687,0.35,46.366
  ,  ,  ,  ,  ,4880,MON,American Crow                           ,                                        , Dh,72,-0.574,-1.532,0.401,3.676
  ,  ,  ,  ,  ,4880,NB ,American Crow                           ,                                        , Dh,45,0.608,-0.051,1.288,41.531
  ,  ,  ,  ,  ,4880,NC ,American Crow                           ,                                        , Dh,86,-0.03,-0.474,0.407,54.255
  ,  ,  ,  ,2,4880,ND ,American Crow                           ,                                        , Dh,48,-3.983,-5.067,-2.901,8.179
  ,  ,  ,  ,2,4880,NEB,American Crow                           ,                                        , Dh,62,-2.53,-3.618,-1.395,6.901
 Y,  , Y,  ,2,4880,NEV,American Crow                           ,                                        , Dh,20,-3.778,-7.279,-0.583,1.687
  ,  ,  ,  ,  ,4880,NF ,American Crow                           ,                                        , Dh,34,-0.828,-2.125,0.375,24.223
  ,  ,  ,  ,2,4880,NH ,American Crow                           ,                                        , Dh,25,-0.728,-1.427,-0.073,40.052
  ,  ,  ,  ,2,4880,NJ ,American Crow                           ,                                        , Dh,33,-1.63,-2.495,-0.728,33.613
 Y,  ,  , Y,2,4880,NM ,American Crow                           ,                                        , Dh,34,-1.876,-3.173,-0.681,0.775
  ,  ,  ,  ,  ,4880,NS ,American Crow                           ,                                        , Dh,39,-0.529,-1.195,0.105,63.77
 R, R, Y, R,  ,4880,NWT,American Crow                           ,                                        , Dh,3,-0.497,-6.045,3.238,0.068
  ,  ,  ,  ,2,4880,NY ,American Crow                           ,                                        , Dh,117,-1.351,-1.734,-0.981,56.11
  ,  ,  ,  ,2,4880,OHI,American Crow                           ,                                        , Dh,67,-1.224,-1.804,-0.66,40.936
  ,  ,  ,  ,2,4880,OKL,American Crow                           ,                                        , Dh,56,-0.641,-1.246,-0.057,40.799
  ,  ,  ,  ,2,4880,ONT,American Crow                           ,                                        , Dh,206,-0.641,-1.111,-0.203,23.979
  ,  ,  ,  ,2,4880,ORE,American Crow                           ,                                        , Dh,83,-1.154,-1.869,-0.501,6.835
  ,  ,  ,  ,2,4880,PA ,American Crow                           ,                                        , Dh,109,-1.449,-1.806,-1.091,54.101
 R, R,  ,  ,  ,4880,PEI,American Crow                           ,                                        , Dh,4,-0.035,-1.162,1.045,154.331
  ,  ,  ,  ,2,4880,QUE,American Crow                           ,                                        , Dh,170,-1.07,-2.096,-0.209,27.08
 R, R, Y,  ,  ,4880,RI ,American Crow                           ,                                        , Dh,4,-1.45,-4.968,1.359,28.103
  ,  ,  ,  ,  ,4880,SAS,American Crow                           ,                                        , Dh,93,-0.565,-1.534,0.528,23.226
  ,  ,  ,  ,  ,4880,SC ,American Crow                           ,                                        , Dh,42,-0.331,-0.965,0.296,58.755
  ,  ,  ,  ,2,4880,SD ,American Crow                           ,                                        , Dh,51,-1.792,-3.202,-0.351,3.69
  ,  ,  ,  ,  ,4880,TEN,American Crow                           ,                                        , Dh,45,0.136,-0.314,0.56,53.158
  ,  ,  ,  ,2,4880,TEX,American Crow                           ,                                        , Dh,136,-2.554,-3.156,-1.948,20.769
 Y,  ,  , Y,  ,4880,UT ,American Crow                           ,                                        , Dh,35,-1.171,-4.083,1.282,0.196
  ,  ,  ,  ,2,4880,VA ,American Crow                           ,                                        , Dh,52,-1.294,-1.809,-0.807,77.956
  ,  ,  ,  ,  ,4880,VT ,American Crow                           ,                                        , Dh,25,0.297,-0.472,1.084,45.703
  ,  ,  ,  ,2,4880,WAS,American Crow                           ,                                        , Dh,84,-0.901,-1.618,-0.223,12.473
  ,  ,  ,  ,2,4880,WIS,American Crow                           ,                                        , Dh,94,-1.74,-2.147,-1.341,65.77
  ,  ,  ,  ,  ,4880,WV ,American Crow                           ,                                        , Dh,53,-0.555,-1.225,0.044,49.186
  ,  ,  ,  ,  ,4880,WYO,American Crow                           ,                                        , Dh,88,-0.331,-1.419,0.728,1.297
  ,  ,  ,  ,2,4880,CAN,American Crow                           ,                                        , Dh,935,-0.573,-0.898,-0.263,20.285
  ,  ,  ,  ,2,4880,US ,American Crow                           ,                                        , Dh,3044,-1.089,-1.193,-0.984,23.529
  ,  ,  ,  ,2,4880,SUR,American Crow                           ,                                        , Dh,3979,-0.919,-1.045,-0.795,22.314
  ,  ,  ,  ,2,4880,CA1,American Crow                           ,                                        , Dh,898,-0.559,-0.897,-0.243,22.734
  ,  ,  ,  ,2,4880,US1,American Crow                           ,                                        , Dh,3044,-1.089,-1.193,-0.984,23.529
  ,  ,  ,  ,2,4880,SU1,American Crow                           ,                                        , Dh,3942,-0.92,-1.047,-0.795,23.264
 R, R, R,  ,  ,4890,S02,Northwestern Crow                       ,                                        , Dh,2,0.635,-4.387,7.192,2.652
 R, R, Y, Y,  ,4890,S04,Northwestern Crow                       ,                                        , Dh,4,3.649,-1.222,8.365,0.709
  ,  ,  ,  ,2,4890,S05,Northwestern Crow                       ,                                        , Dh,66,-1.052,-1.901,-0.217,41.885
 R, R, R, Y,  ,4890,S09,Northwestern Crow                       ,                                        , Dh,3,-0.58,-11.521,4.878,0.493
  ,  ,  ,  ,  ,4890,AK ,Northwestern Crow                       ,                                        , Dh,24,0.123,-1.24,1.816,5.497
  ,  ,  ,  ,2,4890,BC ,Northwestern Crow                       ,                                        , Dh,47,-1.309,-2.352,-0.313,43.757
 R, R, R, R,2,4890,WAS,Northwestern Crow                       ,                                        , Dh,4,-27.592,-44.31,-12.024,0.001
  ,  ,  ,  ,2,4890,CAN,Northwestern Crow                       ,                                        , Dh,47,-1.309,-2.352,-0.313,43.757
  ,  ,  ,  ,  ,4890,US ,Northwestern Crow                       ,                                        , Dh,28,0.098,-1.263,1.799,5.27
  ,  ,  ,  ,  ,4890,SUR,Northwestern Crow                       ,                                        , Dh,75,-0.82,-1.71,0.065,11.975
  ,  ,  ,  ,2,4890,CA1,Northwestern Crow                       ,                                        , Dh,47,-1.309,-2.352,-0.313,43.757
 R, R, R, R,2,4890,US1,Northwestern Crow                       ,                                        , Dh,4,-27.592,-44.31,-12.024,0.001
  ,  ,  ,  ,2,4890,SU1,Northwestern Crow                       ,                                        , Dh,51,-1.32,-2.359,-0.321,36.456
 R, Y, R, R,  ,4900,S13,Fish Crow                               ,                                        , Dh,7,0.925,-6.324,9.012,0.02
 R, Y, R, Y,1,4900,S21,Fish Crow                               ,                                        , Dh,13,11.672,5.153,19.474,0.281
 R,  , R, Y,1,4900,S22,Fish Crow                               ,                                        , Dh,25,12.645,6.314,19.479,0.199
 Y,  , Y, Y,1,4900,S24,Fish Crow                               ,                                        , Dh,39,9.203,5.91,12.4,0.709
  ,  ,  ,  ,1,4900,S25,Fish Crow                               ,                                        , Dh,73,2.118,0.24,4.202,3.452
  ,  ,  ,  ,  ,4900,S26,Fish Crow                               ,                                        , Dh,41,-2.162,-4.661,0.499,3.664
  ,  ,  ,  ,  ,4900,S27,Fish Crow                               ,                                        , Dh,258,-0.653,-1.319,0.023,9.535
 Y,  ,  , Y,1,4900,S28,Fish Crow                               ,                                        , Dh,78,3.004,1.23,4.923,0.345
  ,  ,  ,  ,1,4900,S29,Fish Crow                               ,                                        , Dh,125,2.413,1.207,3.696,1.796
  ,  ,  ,  ,1,4900,S30,Fish Crow                               ,                                        , Dh,109,2.425,1.272,3.722,6.589
  ,  ,  ,  ,2,4900,S31,Fish Crow                               ,                                        , Dh,47,-1.393,-2.754,-0.039,11.305
